source_id,source_name,target_id,target_name,distance
855,MONT-ST-GUIB,936,OTTIGNIES,4.95940282148638
1177,VERVIERS-C,1180,VERVIERS-PAL,0.864574182428276
936,OTTIGNIES,855,MONT-ST-GUIB,4.95940282148638
997,RIXENSART,975,PROFONDSART,2.56976699140769
936,OTTIGNIES,762,LOUVAIN-LA-N,6.35155414175685
997,RIXENSART,457,GENVAL,1.8764698244967601
1180,VERVIERS-PAL,331,DOLHAIN-GIL,7.384996741158919
507,HAMBOS,1230,WESPEL-TILD,2.38385647649375
331,DOLHAIN-GIL,1180,VERVIERS-PAL,7.384996741158919
1083,ST-KAT-WAVER,336,DUFFEL,2.33836179671462
1062,SCLAIGNEAUX,262,CHAT-DE-SEIL,4.14384700438492
212,BRUGGE-ST-P,210,BRUGGE,3.12230384618844
1744,LA LOUV-SUD,673,LA LOUV-CTRE,2.71109875458321
1226,WELKENRAEDT,382,EUPEN,5.92286698048543
673,LA LOUV-CTRE,1744,LA LOUV-SUD,2.71109875458321
345,EDE,494,HAALTERT,2.46808674210651
939,OUDENAARDE,1013,RENAIX,13.576942428686099
367,ERPE-MERE,1186,VIJFHUIZEN,2.20819375005045
1842,MESSANCY,70,ARLON,11.3521494924974
1134,TESTELT,686,LANGDORP,5.88359350482339
70,ARLON,1842,MESSANCY,11.3521494924974
706,LEMBEEK,504,HALLE,2.37905195040345
139,ANTW-BERCHEM,864,DEURNESTWG,2.1160331207332903
801,MARLOIE,100,AYE,2.77336160462047
738,LILLOIS,911,NIVELLES,5.6945674923389396
933,OPWIJK,542,HEIZIJDE,2.6698716059344
205,BRAINE-LE-CT,1092,SOIGNIES,6.15494673010358
191,BORDET,383,EVERE,1.2264929316283102
1912,ARCADES,380,ETTERBEEK,1.49364064587464
873,MUNKZWALM,1076,ST-D-BOEKEL,2.34704192749606
1663,HAREN,1192,VILVOORDE,4.227627743551929
1843,EVERGEM,1248,WONDELGEM,2.5421946212302102
474,GONTRODE,815,MELLE,2.7052279697998403
759,LOT,232,BUIZINGEN,1.8015984144312098
1151,TONGEREN,1195,VISE,21.773670616597
562,HERSTAL,730,LIEGE-ST-LAM,3.91753917842682
604,INGELMUNSTER,606,IZEGEM,3.05362738054106
723,LIBRAMONT,146,BERTRIX,12.0822139473706
2011,OUGREE,726,LIEGE-GUILL,5.673038996584349
708,LEOPOLDSBURG,107,BALEN,8.735108278380679
1348,BERINGEN,143,BEVERLO,4.45271847725327
477,GOUVY,1185,VIELSALM,11.4247572670028
143,BEVERLO,1348,BERINGEN,4.45271847725327
1245,WILLEBROEK,977,PUURS,5.25433700034547
78,ATHUS,1841,AUBANGE,2.94977113461446
941,OUD-HEVERLEE,1082,ST-JOR-WEERT,3.91492476229195
458,G'BERGEN,12,ACREN,4.822783016219001
628,JURBISE,364,ERBISOEUL,2.98065681042941
621,JETTE,1266,ZELLIK,4.3573054346366
1005,ROESELARE,606,IZEGEM,6.85973588542648
401,FLEMALLE-GDE,1067,SERAING,5.535939384887319
568,HILLEGEM,563,HERZELE,1.6725142134553301
325,DIEGEM,219,BRU AIRPORT,7.06166500407667
764,LUCHTBAL,38,ANTW-DAM,1.33030548437577
1063,SCLESSIN,971,PONT-SERAING,3.50638585906561
970,PONT-CELLES,768,LUTTRE,2.3339924219211396
906,NIEUWKERKEN,1088,SINT-NIKLAAS,3.24817919939992
399,FEXHE,842,MOMALLE,2.1883210711238696
683,LANDELIES,793,MARCH-ZONE,3.97439641057849
1973,GERMOIR,380,ETTERBEEK,1.36804177277411
815,MELLE,822,MERELBEKE,2.96888218067864
1192,VILVOORDE,363,EPPEGEM,4.19576877038589
822,MERELBEKE,815,MELLE,2.96888218067864
647,KORTEMARK,327,DIKSMUIDE,12.6886138468579
458,G'BERGEN,1182,VIANE-MOERB,4.67376062511729
2089,ANDERLECHT,223,BRUX-OUEST,5.74352256405749
684,LANDEN,1213,WAREMME,13.800926954126501
924,OLEN,436,GEEL,6.157885737165611
316,DE HOEK,1218,WATERLOO,2.88559759829687
208,BRESSOUX,1195,VISE,13.0097613364015
920,OBOURG,535,HAVRE,3.67137828361112
956,PEPINSTER,901,NESSONVAUX,5.329885825221201
924,OLEN,554,HERENTALS,6.04101965088922
1350,ZONHOVEN,1231,ZOLDER,6.09047333648202
58,ANTW-N'DOK'N,352,EKEREN,1.7841754461744699
185,BOMAL,114,BARVAUX,3.35742084187726
409,FLORENVILLE,1194,VIRTON,24.777121851737
790,MARCHE-ECAUS,342,ECAUSSINNES,2.30790909491612
220,BRUXELL-MIDI,414,FOREST-EST,3.17043549932059
384,EZEMAAL,900,NEERWINDEN,3.23863700458445
532,HAVERSIN,257,CHAPOIS,6.01740388047074
346,EEKLO,1206,WAARSCHOOT,4.0324086861153905
257,CHAPOIS,532,HAVERSIN,6.01740388047074
510,HAMOIR,277,COMBL-TOUR,4.9118647540091
591,HUIZINGEN,504,HALLE,2.87907424194344
724,LICHTERVELDE,1152,TORHOUT,4.78074361924811
243,BERCHEM-ST-A,488,G-BIJGAARDEN,1.27976700974966
281,COUILLET,259,CHARL-CENTR,2.6836630976197497
811,NEKKERSPOEL,1083,ST-KAT-WAVER,4.57447050558597
1056,SCHELDEWIND,105,BALEGEM-DORP,2.2371026977688198
278,COMINES,602,IEPER,12.782097156812801
824,VIVIER D'OIE,189,BOONDAEL,1.6506849367613199
931,OOSTKAMP,210,BRUGGE,5.70287125462335
160,BISSEGEM,1235,WEVELGEM,3.3658791926419798
602,IEPER,278,COMINES,12.782097156812801
866,M-OUDE GOD,864,DEURNESTWG,1.3045476632576198
916,NOSSEGEM,648,KORTENBERG,2.8523239925441497
1154,TOURNAI,35,ANTOING,7.2612582506648895
565,HEUSDEN,1231,ZOLDER,3.5525675359791697
723,LIBRAMONT,752,NEUFCHATEAU,9.34092778399956
447,GENTBRUGGE,815,MELLE,5.57760306965422
1136,THIEU,201,BRACQUEGNIES,2.04694201280507
201,BRACQUEGNIES,673,LA LOUV-CTRE,4.28344861669418
933,OPWIJK,821,MERCHTEM,3.49900637920167
1663,HAREN,191,BORDET,1.42148073152001
895,NAMUR,400,FLAWINNE,5.16293778370442
673,LA LOUV-CTRE,201,BRACQUEGNIES,4.28344861669418
289,COURT-ST-ET,252,CEROUX-MOUST,1.57165718651297
1085,LIERDE,458,G'BERGEN,6.62193740594126
37,ANTWERPEN-C,764,LUCHTBAL,3.02424434939072
518,HANSBEKE,682,LANDEGEM,2.93200486368439
1062,SCLAIGNEAUX,894,NAMECHE,3.2014846822609
682,LANDEGEM,518,HANSBEKE,2.93200486368439
471,GODARVILLE,479,GOUY-PIETON,2.79297341323937
320,DE PINTE,317,DEINZE,8.79058879805361
1130,TERHAGEN,235,BURST,1.75765399167621
812,MEISER,826,MERODE,1.6916482767207999
835,MILMORT,733,LIERS,2.5049803987003303
227,BRUX-SCHUMAN,812,MEISER,2.05023589792891
739,LIMAL,153,BIERGES-WAL,2.23500149831494
870,MOUSTIER,515,HAM-S-SAMBRE,1.55282376699507
400,FLAWINNE,895,NAMUR,5.16293778370442
221,BRUXELLES-ND,1048,SCHAERBEEK,2.52527122155048
630,KALMTHOUT,1244,WILDERT,4.2201108279672095
848,MONS,422,FRAMERIES,6.5227244547183
1730,SINT-GILLIS,699,LEBBEKE,2.3003490027805302
648,KORTENBERG,368,ERPS-KWERPS,2.95668361112064
227,BRUX-SCHUMAN,218,BRUXELL-LUX,0.676257719003781
422,FRAMERIES,848,MONS,6.5227244547183
257,CHAPOIS,704,LEIGNON,1.31814255121291
620,JEMEPPE-S-S,82,AUVELAIS,2.54876558329422
835,MILMORT,562,HERSTAL,4.79831140336085
146,BERTRIX,951,PALISEUL,11.9779451151666
281,COUILLET,700,CAMPINAIRE,6.4254724976851305
166,BLANKENBERGE,212,BRUGGE-ST-P,11.7415975823228
472,GODINNE,1255,YVOIR,4.04297430151845
368,ERPS-KWERPS,648,KORTENBERG,2.95668361112064
672,LA HULPE,457,GENVAL,1.7378342243873102
895,NAMUR,610,JAMBES-EST,2.53764358378404
827,MERY,579,HONY,1.47795494158508
610,JAMBES-EST,895,NAMUR,2.53764358378404
700,CAMPINAIRE,281,COUILLET,6.4254724976851305
732,LIER,644,KONTICH-LINT,6.28232320895415
395,FAUX,289,COURT-ST-ET,3.04873913071683
1242,WIJGMAAL,715,LEUVEN,4.84227266258064
1157,TROIS-PONTS,992,COO,2.58324913573318
819,MELSELE,1278,ZWIJNDRECHT,2.5465051408215498
319,DENDERMONDE,938,OUDEGEM,2.88198721034914
810,MECHELEN,1048,SCHAERBEEK,19.832521382104797
1066,SCHELLE,546,HEMIKSEM,1.23008126484986
1202,VOROUX,726,LIEGE-GUILL,16.1947847979467
106,BALEGEM-ZUID,105,BALEGEM-DORP,2.38045609791264
184,BOKRIJK,1670,GENK,6.56878262168561
6,AALST,104,AALST-KERREB,1.1578295747566698
447,GENTBRUGGE,822,MERELBEKE,2.61148765019315
810,MECHELEN,811,NEKKERSPOEL,1.50627171557316
822,MERELBEKE,447,GENTBRUGGE,2.61148765019315
572,HOEILAART,486,GROENENDAAL,1.4372609548952
142,BERLAAR,732,LIER,6.94008005628894
1234,WETTEREN,654,KWATRECHT,3.6012854088346997
726,LIEGE-GUILL,1202,VOROUX,16.194784797946802
320,DE PINTE,351,EKE-NAZARETH,4.81092171837891
139,ANTW-BERCHEM,61,ANTW-OOST,1.0990143080659
1768,SIMONIS,223,BRUX-OUEST,1.76223482754087
414,FOREST-EST,223,BRUX-OUEST,4.8669933313975395
767,LUSTIN,472,GODINNE,2.98028620030779
1048,SCHAERBEEK,227,BRUX-SCHUMAN,4.61530196315156
1979,TOUR-TAXIS,221,BRUXELLES-ND,3.81848270295848
574,HOFSTADE,566,HEVER,3.44219199614579
956,PEPINSTER,1177,VERVIERS-C,3.95175393295989
784,MANAGE,673,LA LOUV-CTRE,6.89538028197813
221,BRUXELLES-ND,1979,TOUR-TAXIS,3.81848270295848
612,JAMIOULX,259,CHARL-CENTR,9.14075879531722
1202,VOROUX,399,FEXHE,2.4397766370117804
263,CHATELET,281,COUILLET,4.25692022595131
907,NIJLEN,635,KESSEL,3.3809035938469503
281,COUILLET,263,CHATELET,4.25692022595131
327,DIKSMUIDE,1181,VEURNE,15.182164105215499
726,LIEGE-GUILL,31,ANS,5.8893038830044695
422,FRAMERIES,446,GENLY,1.7329080236835
325,DIEGEM,521,HAREN-SUD,1.95899721866755
824,VIVIER D'OIE,1081,SAINT-JOB,1.00327391321572
1021,RUISBROEK,415,FOREST-MIDI,2.2895347048273003
612,JAMIOULX,133,BEIGNEE,2.80713265543637
415,FOREST-MIDI,1021,RUISBROEK,2.2895347048273003
423,FRANCHIMONT,1097,SPA,6.096324554447641
566,HEVER,574,HOFSTADE,3.44219199614579
870,MOUSTIER,424,FRANIERE,3.39495375983216
725,LIEDEKERKE,2089,ANDERLECHT,15.9835643603001
127,BEERNEM,797,MARIA-AALTER,4.5816677317088
574,HOFSTADE,871,MUIZEN,3.3449626439264297
395,FAUX,692,LA ROCHE,1.46279708493928
2089,ANDERLECHT,725,LIEDEKERKE,15.983564360300202
424,FRANIERE,870,MOUSTIER,3.39495375983216
27,ANGLEUR,726,LIEGE-GUILL,3.00141033913587
905,NIEL,1066,SCHELLE,1.85137330615605
504,HALLE,360,ENGHIEN,15.5764354466686
601,IDEGEM,1059,SCHENDELBEKE,1.63169265108409
263,CHATELET,700,CAMPINAIRE,2.2697321436146
480,GRAIDE,249,CARLSBOURG,5.18020271234475
1084,ST-MARIABURG,30,ANTW-HAVEN,4.51531490007701
171,BLERET,1213,WAREMME,2.82377476097421
1167,UCCLE-CALEV,742,LINKEBEEK,2.2781844992225904
842,MOMALLE,399,FEXHE,2.1883210711238696
132,BEGIJNENDIJK,9,AARSCHOT,5.27493276125206
436,GEEL,924,OLEN,6.157885737165611
1202,VOROUX,27,ANGLEUR,15.5117460400336
229,BUDA,1192,VILVOORDE,2.0856446780595403
877,LIERSESTWG,863,MORTSEL,2.54831275631972
923,OKEGEM,600,IDDERGEM,2.4171668333134697
793,MARCH-ZONE,791,MARCH-AU-PT,3.1288480993104
255,CHAP-DIEU,809,MAZY,5.4858892630526395
27,ANGLEUR,1202,VOROUX,15.5117460400336
432,GALMAARDEN,1182,VIANE-MOERB,3.5016461789054203
566,HEVER,871,MUIZEN,2.29580156619449
1048,SCHAERBEEK,1192,VILVOORDE,7.017952647271141
1184,VICHTE,649,KORTRIJK,9.53491915450548
376,ESSEN,1244,WILDERT,4.00529035906362
649,KORTRIJK,1184,VICHTE,9.53491915450548
1186,VIJFHUIZEN,367,ERPE-MERE,2.20819375005045
220,BRUXELL-MIDI,1021,RUISBROEK,5.77606020566167
1097,SPA,459,GERONSTERE,0.758586483166945
553,HERENT,1238,WEZEMAAL,9.66916595293485
146,BERTRIX,409,FLORENVILLE,20.2909262243548
1260,ZAVENTEM,219,BRU AIRPORT,2.7166452474619502
724,LICHTERVELDE,1005,ROESELARE,8.69129447170781
219,BRU AIRPORT,1260,ZAVENTEM,2.7166452474619502
530,HAUTE-FLONE,22,AMAY,1.19794582976461
266,CHENEE,825,HERGENRATH,36.9860676378607
1091,SLEIDINGE,1206,WAARSCHOOT,4.84601460381176
825,HERGENRATH,266,CHENEE,36.9860676378607
1181,VEURNE,643,KOKSIJDE,1.21842429949905
916,NOSSEGEM,219,BRU AIRPORT,2.73069732868316
1255,YVOIR,472,GODINNE,4.04297430151845
139,ANTW-BERCHEM,37,ANTWERPEN-C,2.22166116612981
1219,WATERMAEL,380,ETTERBEEK,1.46872272408301
139,ANTW-BERCHEM,64,ANTW-ZUID,3.57933980977918
246,CALLENELLE,807,MAUBRAY,3.12320672878648
64,ANTW-ZUID,139,ANTW-BERCHEM,3.57933980977918
1131,TERNAT,1087,ST-M-BODEGEM,2.92546046428619
793,MARCH-ZONE,259,CHARL-CENTR,4.03464710886593
1244,WILDERT,630,KALMTHOUT,4.2201108279672095
77,ATH,121,SILLY,13.093790113796901
78,ATHUS,1842,MESSANCY,3.73046868884355
1761,DELTA,1219,WATERMAEL,1.11742968259562
64,ANTW-ZUID,1278,ZWIJNDRECHT,5.64438228154816
1979,TOUR-TAXIS,1048,SCHAERBEEK,3.3703764603252697
968,POIX-ST-HUB,723,LIBRAMONT,13.281629809819501
219,BRU AIRPORT,810,MECHELEN,15.306330633810099
723,LIBRAMONT,968,POIX-ST-HUB,13.281629809819501
810,MECHELEN,219,BRU AIRPORT,15.306330633810099
489,GRUPONT,968,POIX-ST-HUB,10.3528538953018
139,ANTW-BERCHEM,177,BOECHOUT,5.84558194223341
232,BUIZINGEN,504,HALLE,2.45016354764297
612,JAMIOULX,258,CHARL-OUEST,9.33173844239923
790,MARCHE-ECAUS,391,FAMILLEUREUX,3.8597610448828
707,LENS,805,MASNUY-ST-P,5.97543763202848
583,HOURAING,710,LESSINES,1.12282754151906
805,MASNUY-ST-P,707,LENS,5.97543763202848
995,RHISNES,1031,ST-D-BOVESSE,3.43607233760005
470,GLONS,1151,TONGEREN,5.92181689636024
486,GROENENDAAL,183,BOITSFORT,4.33216375320699
132,BEGIJNENDIJK,686,LANGDORP,5.73840528233896
992,COO,84,AYWAILLE,23.9314891214335
157,BILZEN,324,DIEPENBEEK,8.69047220507005
1059,SCHENDELBEKE,458,G'BERGEN,3.78825075214971
540,HEIST,743,LISSEWEGE,12.1229009538366
789,MARCHE-DAMES,894,NAMECHE,2.82967861853197
523,HASSELT,1350,ZONHOVEN,8.11889817661126
894,NAMECHE,789,MARCHE-DAMES,2.82967861853197
810,MECHELEN,1245,WILLEBROEK,12.875823704371
550,HENNUYERES,205,BRAINE-LE-CT,5.8384131826573205
1767,BOCKSTAEL,221,BRUXELLES-ND,2.97620666210048
1260,ZAVENTEM,325,DIEGEM,2.04855390115139
227,BRUX-SCHUMAN,221,BRUXELLES-ND,5.59752988333056
644,KONTICH-LINT,336,DUFFEL,4.82110815201205
415,FOREST-MIDI,504,HALLE,9.92565325872752
936,OTTIGNIES,739,LIMAL,2.5047312675645697
649,KORTRIJK,604,INGELMUNSTER,11.410691276612301
177,BOECHOUT,732,LIER,5.86154367791134
743,LISSEWEGE,540,HEIST,12.1229009538366
559,HERNE,360,ENGHIEN,3.85929022620632
61,ANTW-OOST,38,ANTW-DAM,3.7473550467650396
923,OKEGEM,910,NINOVE,2.96200137227107
523,HASSELT,1061,SCHULEN,10.5590895712521
223,BRUX-OUEST,220,BRUXELL-MIDI,3.69516481897967
455,GENT-ST-P,447,GENTBRUGGE,4.39011525596125
1043,SART-BERNARD,287,COURRIERE,4.465825097347589
447,GENTBRUGGE,455,GENT-ST-P,4.39011525596125
1048,SCHAERBEEK,229,BUDA,4.86935818820788
742,LINKEBEEK,1081,SAINT-JOB,3.1662736078315
2089,ANDERLECHT,815,MELLE,40.918133309140906
220,BRUXELL-MIDI,455,GENT-ST-P,51.9628343764362
1107,STOCKEM,1198,VIVILLE,1.29718335708578
455,GENT-ST-P,220,BRUXELL-MIDI,51.96283437643601
151,BEVEREN(W),819,MELSELE,1.95633230834169
819,MELSELE,30,ANTW-HAVEN,30.1031691937064
684,LANDEN,1090,SINT-TRUIDEN,11.3029201226855
504,HALLE,77,ATH,37.4705074356006
118,BAS-OHA,25,ANDENNE,7.41705407778493
77,ATH,504,HALLE,37.470507435600396
786,MARBEHAN,752,NEUFCHATEAU,16.0747091967526
1278,ZWIJNDRECHT,30,ANTW-HAVEN,30.7644938942076
2089,ANDERLECHT,455,GENT-ST-P,47.9414990475186
318,DENDERLEEUW,455,GENT-ST-P,30.2582766371717
750,LOMMEL,840,MOL,13.8677493611185
208,BRESSOUX,1202,VOROUX,18.616458503745797
748,LOKEREN,1073,SINAAI,7.1164345671951
455,GENT-ST-P,223,BRUX-OUEST,53.6848872903273
574,HOFSTADE,363,EPPEGEM,4.5987329060991895
725,LIEDEKERKE,220,BRUXELL-MIDI,20.0048996892178
363,EPPEGEM,574,HOFSTADE,4.5987329060991895
810,MECHELEN,871,MUIZEN,3.0965613322971097
871,MUIZEN,810,MECHELEN,3.0965613322971097
864,DEURNESTWG,139,ANTW-BERCHEM,2.1160331207332903
383,EVERE,812,MEISER,1.6109871874625001
812,MEISER,383,EVERE,1.6109871874625001
744,LOBBES,412,FONTAINE-VAL,4.77980314847274
412,FONTAINE-VAL,744,LOBBES,4.77980314847274
553,HERENT,1174,VELTEM,2.7409654776001897
1192,VILVOORDE,325,DIEGEM,4.87410253374943
706,LEMBEEK,1160,TUBIZE,2.86971461229117
764,LUCHTBAL,1839,NOORD'KEMPEN,20.961412149767998
391,FAMILLEUREUX,790,MARCHE-ECAUS,3.8597610448828
837,MOENSBERG,1081,SAINT-JOB,2.8057816292194997
1081,SAINT-JOB,837,MOENSBERG,2.8057816292194997
1009,RONET,400,FLAWINNE,1.69718966349131
421,FRAIPONT,1159,TROOZ,2.7822231357384397
1192,VILVOORDE,1663,HAREN,4.227627743551929
1226,WELKENRAEDT,825,HERGENRATH,8.34312238025496
791,MARCH-AU-PT,413,FORCHIES,6.3681835663348005
1229,WERVIK,278,COMINES,3.58153729811929
413,FORCHIES,791,MARCH-AU-PT,6.3681835663348005
1841,AUBANGE,78,ATHUS,2.94977113461446
348,EINE,939,OUDENAARDE,2.83846913578377
155,BIERSET-AW,1202,VOROUX,2.1289140919369003
12,ACREN,458,G'BERGEN,4.822783016219001
35,ANTOING,807,MAUBRAY,4.02353527906653
621,JETTE,1767,BOCKSTAEL,1.14692614578279
1767,BOCKSTAEL,621,JETTE,1.14692614578279
406,FLOREFFE,424,FRANIERE,2.4725597671145203
793,MARCH-ZONE,683,LANDELIES,3.97439641057849
1182,VIANE-MOERB,458,G'BERGEN,4.67376062511729
352,EKEREN,1084,ST-MARIABURG,1.74372573601558
401,FLEMALLE-GDE,705,LEMAN,1.29778999764382
1061,SCHULEN,326,DIEST,10.054659167573
1144,TIELEN,554,HERENTALS,8.14124138243421
361,ENGIS,402,FLEMALLE-HTE,4.07660302793387
402,FLEMALLE-HTE,361,ENGIS,4.07660302793387
272,CINEY,897,NATOYE,6.27460580365419
979,QUAREGNON,1034,ST-GHISLAIN,2.64990965067755
352,EKEREN,58,ANTW-N'DOK'N,1.7841754461744699
1194,VIRTON,409,FLORENVILLE,24.777121851737
996,RIVAGE,974,POULSEUR,4.03770507288899
335,DRONGEN,455,GENT-ST-P,4.20719003568979
455,GENT-ST-P,335,DRONGEN,4.20719003568979
449,GENT-DAMP,1248,WONDELGEM,5.1311386402896
414,FOREST-EST,220,BRUXELL-MIDI,3.17043549932059
504,HALLE,591,HUIZINGEN,2.87907424194344
809,MAZY,620,JEMEPPE-S-S,7.37786847483701
620,JEMEPPE-S-S,809,MAZY,7.37786847483701
184,BOKRIJK,157,BILZEN,16.1396272074051
1979,TOUR-TAXIS,227,BRUX-SCHUMAN,6.52420829934143
488,G-BIJGAARDEN,243,BERCHEM-ST-A,1.27976700974966
1083,ST-KAT-WAVER,811,NEKKERSPOEL,4.57447050558597
210,BRUGGE,931,OOSTKAMP,5.70287125462335
1231,ZOLDER,565,HEUSDEN,3.5525675359791697
815,MELLE,447,GENTBRUGGE,5.57760306965422
191,BORDET,1663,HAREN,1.42148073152001
911,NIVELLES,919,OBAIX-BUZET,7.71498437129624
919,OBAIX-BUZET,911,NIVELLES,7.71498437129624
502,HALANZY,1841,AUBANGE,4.6233676632586205
1841,AUBANGE,502,HALANZY,4.6233676632586205
329,DINANT,34,ANSEREMME,3.20210822190213
34,ANSEREMME,329,DINANT,3.20210822190213
317,DEINZE,320,DE PINTE,8.79058879805361
826,MERODE,812,MEISER,1.6916482767207999
812,MEISER,227,BRUX-SCHUMAN,2.05023589792891
515,HAM-S-SAMBRE,870,MOUSTIER,1.55282376699507
1048,SCHAERBEEK,221,BRUXELLES-ND,2.52527122155048
1744,LA LOUV-SUD,862,MORLANWELZ,4.36282071628155
862,MORLANWELZ,1744,LA LOUV-SUD,4.36282071628155
496,HABAY,1107,STOCKEM,10.562930051811499
611,JAMBES,895,NAMUR,2.6692754969152004
895,NAMUR,611,JAMBES,2.6692754969152004
715,LEUVEN,1242,WIJGMAAL,4.84227266258064
9,AARSCHOT,686,LANGDORP,3.73152401946613
1048,SCHAERBEEK,810,MECHELEN,19.8325213821049
1278,ZWIJNDRECHT,819,MELSELE,2.5465051408215498
546,HEMIKSEM,570,HOBOKEN-POLD,5.35583137427149
570,HOBOKEN-POLD,546,HEMIKSEM,5.35583137427149
1670,GENK,184,BOKRIJK,6.5687826216856005
863,MORTSEL,177,BOECHOUT,3.90732454865703
635,KESSEL,732,LIER,4.34748886097368
732,LIER,635,KESSEL,4.34748886097368
61,ANTW-OOST,139,ANTW-BERCHEM,1.0990143080659
360,ENGHIEN,121,SILLY,9.098335852784931
1761,DELTA,380,ETTERBEEK,1.5342452647775302
64,ANTW-ZUID,570,HOBOKEN-POLD,4.286287964230549
570,HOBOKEN-POLD,64,ANTW-ZUID,4.286287964230549
673,LA LOUV-CTRE,784,MANAGE,6.89538028197813
201,BRACQUEGNIES,1744,LA LOUV-SUD,5.10935467960376
715,LEUVEN,567,HEVERLEE,3.31752918434491
715,LEUVEN,1176,VERTRIJK,10.7271583177856
634,KAP-O-D-BOS,810,MECHELEN,8.9370304821239
31,ANS,726,LIEGE-GUILL,5.8893038830044695
871,MUIZEN,574,HOFSTADE,3.3449626439264297
1048,SCHAERBEEK,1767,BOCKSTAEL,2.52810041946727
360,ENGHIEN,504,HALLE,15.5764354466686
30,ANTW-HAVEN,1084,ST-MARIABURG,4.51531490007701
621,JETTE,1979,TOUR-TAXIS,2.07555485004425
720,LEVAL,1744,LA LOUV-SUD,5.54836811026759
1744,LA LOUV-SUD,720,LEVAL,5.54836811026759
1767,BOCKSTAEL,1048,SCHAERBEEK,2.52810041946727
742,LINKEBEEK,1167,UCCLE-CALEV,2.2781844992225904
649,KORTRIJK,160,BISSEGEM,3.49412664076202
530,HAUTE-FLONE,361,ENGIS,6.00020141703953
863,MORTSEL,877,LIERSESTWG,2.54831275631972
612,JAMIOULX,791,MARCH-AU-PT,8.23495978576169
1195,VISE,1226,WELKENRAEDT,29.667058347973402
126,BEAURAING,435,GEDINNE,21.267678984642302
871,MUIZEN,566,HEVER,2.29580156619449
1238,WEZEMAAL,553,HERENT,9.66916595293485
715,LEUVEN,1238,WEZEMAAL,9.01294226077748
258,CHARL-OUEST,791,MARCH-AU-PT,3.5100874083470797
2089,ANDERLECHT,220,BRUXELL-MIDI,4.02146965016619
6,AALST,365,EREMBODEGEM,3.0594797629027997
259,CHARL-CENTR,793,MARCH-ZONE,4.03464710886593
572,HOEILAART,672,LA HULPE,3.29030153888745
121,SILLY,77,ATH,13.093790113796901
208,BRESSOUX,2011,OUGREE,8.09471270238334
1219,WATERMAEL,1761,DELTA,1.11742968259562
870,MOUSTIER,809,MAZY,8.635733264349021
258,CHARL-OUEST,612,JAMIOULX,9.33173844239924
793,MARCH-ZONE,258,CHARL-OUEST,4.225626755947951
258,CHARL-OUEST,793,MARCH-ZONE,4.225626755947951
1198,VIVILLE,496,HABAY,11.8672119377369
895,NAMUR,789,MARCHE-DAMES,7.92501290261934
789,MARCHE-DAMES,895,NAMUR,7.92501290261934
324,DIEPENBEEK,157,BILZEN,8.69047220507006
1092,SOIGNIES,342,ECAUSSINNES,7.84950380215507
342,ECAUSSINNES,1092,SOIGNIES,7.84950380215507
523,HASSELT,636,KIEWIT,4.99949863351647
636,KIEWIT,523,HASSELT,4.99949863351648
210,BRUGGE,929,OOSTENDE,21.8978620148835
449,GENT-DAMP,130,BEERVELDE,12.165550420004099
130,BEERVELDE,449,GENT-DAMP,12.165550420004
1245,WILLEBROEK,810,MECHELEN,12.8758237043709
188,BOOM,1017,RUISBR-SAUV,2.73383720640504
732,LIER,336,DUFFEL,9.639366332510521
221,BRUXELLES-ND,227,BRUX-SCHUMAN,5.59752988333056
604,INGELMUNSTER,649,KORTRIJK,11.410691276612301
325,DIEGEM,1663,HAREN,1.72877070005934
325,DIEGEM,810,MECHELEN,17.264923933033398
38,ANTW-DAM,61,ANTW-OOST,3.7473550467650396
9,AARSCHOT,132,BEGIJNENDIJK,5.27493276125206
1061,SCHULEN,523,HASSELT,10.5590895712521
726,LIEGE-GUILL,208,BRESSOUX,5.77253291027571
504,HALLE,220,BRUXELL-MIDI,13.4121787595619
815,MELLE,220,BRUXELL-MIDI,44.9394686380583
